fpr,tpr,threshold
0.0345,0.5781,84.02
0.0345,0.5808,83.97
0.0345,0.5836,83.87
0.0345,0.5863,83.87
0.0345,0.5890,83.87
0.0345,0.5918,83.85
0.0345,0.5945,83.59
0.0345,0.5973,83.55
0.0345,0.6000,83.50
0.0345,0.6027,83.41
0.0345,0.6055,83.38
0.0345,0.6082,83.34
0.0345,0.6110,83.27
0.0345,0.6137,83.27
0.0345,0.6164,83.22
0.0345,0.6192,83.22
0.0345,0.6219,83.19
0.0345,0.6247,83.19
0.0345,0.6274,83.19
0.0345,0.6301,83.19
0.0345,0.6329,83.19
0.0366,0.6329,83.17
0.0366,0.6356,83.11
0.0388,0.6356,83.06
0.0388,0.6384,82.99
0.0409,0.6384,82.98
0.0431,0.6384,82.98
0.0431,0.6411,82.97
0.0453,0.6411,82.95
0.0453,0.6438,82.90
0.0474,0.6438,82.90
0.0474,0.6466,82.86
0.0496,0.6466,82.79
0.0496,0.6493,82.76
0.0496,0.6521,82.76
0.0496,0.6548,82.74
0.0517,0.6548,82.65
0.0517,0.6575,82.60
0.0517,0.6603,82.60
0.0539,0.6603,82.60
0.0560,0.6603,82.60
0.0582,0.6603,82.60
0.0603,0.6603,82.60
0.0625,0.6603,82.60
0.0647,0.6603,82.60
0.0647,0.6630,82.60
0.0668,0.6630,82.60
0.0690,0.6630,82.60
0.0690,0.6658,82.59
0.0690,0.6685,82.57
0.0711,0.6685,82.53
0.0733,0.6685,82.53
0.0754,0.6685,82.53
0.0776,0.6685,82.53
0.0776,0.6712,82.53
0.0776,0.6740,82.53
0.0776,0.6767,82.53
0.0776,0.6795,82.52
0.0776,0.6822,82.52
0.0797,0.6822,82.49
0.0797,0.6849,82.48
0.0797,0.6877,82.48
0.0797,0.6904,82.48
0.0797,0.6932,82.48
0.0797,0.6959,82.48
0.0797,0.6986,82.48
0.0797,0.7014,82.48
0.0819,0.7014,82.40
0.0841,0.7014,82.39
0.0841,0.7041,82.38
0.0841,0.7068,82.38
0.0841,0.7096,82.32
0.0841,0.7123,82.25
0.0841,0.7151,82.20
0.0862,0.7151,82.09
0.0884,0.7151,81.98
0.0905,0.7151,81.94
0.0905,0.7178,81.87
0.0927,0.7178,81.87
0.0927,0.7205,81.87
0.0927,0.7233,81.87
0.0948,0.7233,81.87
0.0970,0.7233,81.87
0.0991,0.7233,81.87
0.1013,0.7233,81.87
0.1013,0.7260,81.87
0.1034,0.7260,81.87
0.1056,0.7260,81.86
0.1078,0.7260,81.78
0.1099,0.7260,81.66
0.1121,0.7260,81.63
0.1142,0.7260,81.38
0.1164,0.7260,81.38
0.1185,0.7260,81.38
0.1207,0.7260,81.38
0.1228,0.7260,81.38
0.1250,0.7260,81.38
0.1272,0.7260,81.32
0.1293,0.7260,81.28
0.1315,0.7260,81.05
0.1315,0.7288,81.00
0.1336,0.7288,80.91
0.1358,0.7288,80.75
0.1379,0.7288,80.70
0.1401,0.7288,80.62
0.1401,0.7315,80.59
0.1401,0.7342,80.59
0.1401,0.7370,80.37
0.1401,0.7397,80.37
0.1401,0.7425,80.37
0.1401,0.7452,80.37
0.1401,0.7479,80.37
0.1401,0.7507,80.37
0.1401,0.7534,80.22
0.1422,0.7534,79.78
0.1444,0.7534,79.78
0.1466,0.7534,79.76
0.1466,0.7562,79.70
0.1487,0.7562,79.63
0.1509,0.7562,79.57
0.1530,0.7562,79.57
0.1552,0.7562,79.55
0.1573,0.7562,79.54
0.1595,0.7562,79.54
0.1616,0.7562,79.50
0.1638,0.7562,79.49
0.1659,0.7562,79.49
0.1681,0.7562,79.45
0.1681,0.7589,79.45
0.1681,0.7616,79.39
0.1703,0.7616,79.30
0.1724,0.7616,79.29
0.1746,0.7616,79.29
0.1767,0.7616,79.26
0.1789,0.7616,79.26
0.1810,0.7616,79.26
0.1832,0.7616,79.26
0.1853,0.7616,79.26
0.1875,0.7616,79.26
0.1897,0.7616,79.26
0.1918,0.7616,79.25
0.1940,0.7616,79.20
0.1961,0.7616,79.19
0.1983,0.7616,79.19
0.1983,0.7644,79.18
0.2004,0.7644,79.18
0.2004,0.7671,79.17
0.2004,0.7699,79.17
0.2026,0.7699,79.16
0.2047,0.7699,79.16
0.2069,0.7699,79.16
0.2091,0.7699,79.16
0.2112,0.7699,79.16
0.2134,0.7699,79.16
0.2155,0.7699,79.16
0.2177,0.7699,79.16
0.2198,0.7699,79.16
0.2220,0.7699,79.16
0.2241,0.7699,79.16
0.2263,0.7699,79.16
0.2284,0.7699,79.16
0.2306,0.7699,79.16
0.2328,0.7699,79.16
0.2349,0.7699,79.16
0.2371,0.7699,79.16
0.2392,0.7699,79.16
0.2414,0.7699,79.16
0.2414,0.7726,79.14
0.2414,0.7753,79.14
0.2414,0.7781,79.14
0.2435,0.7781,79.13
0.2457,0.7781,79.12
0.2478,0.7781,79.12
0.2500,0.7781,79.12
0.2522,0.7781,79.12
0.2543,0.7781,79.12
0.2543,0.7808,79.12
0.2543,0.7836,79.12
0.2565,0.7836,79.12
0.2586,0.7836,79.12
0.2608,0.7836,79.12
0.2629,0.7836,79.12
0.2651,0.7836,79.12
0.2672,0.7836,79.12
0.2694,0.7836,79.12
0.2716,0.7836,79.12
0.2737,0.7836,79.12
0.2759,0.7836,79.12
0.2780,0.7836,79.12
0.2802,0.7836,79.12
0.2823,0.7836,79.12
0.2845,0.7836,79.12
0.2866,0.7836,79.12
0.2888,0.7836,79.12
0.2909,0.7836,79.12
0.2931,0.7836,79.12
0.2953,0.7836,79.12
0.2974,0.7836,79.12
0.2996,0.7836,79.12
0.3017,0.7836,79.10
0.3039,0.7836,79.09
0.3060,0.7836,79.09
0.3082,0.7836,79.09
0.3103,0.7836,79.07
0.3125,0.7836,79.06
0.3147,0.7836,79.06
0.3168,0.7836,79.06
0.3190,0.7836,79.05
0.3211,0.7836,79.05
0.3233,0.7836,79.05
0.3254,0.7836,79.03
0.3276,0.7836,79.03
0.3297,0.7836,79.03
0.3319,0.7836,79.03
0.3341,0.7836,79.03
0.3362,0.7836,79.03
0.3384,0.7836,79.03
0.3405,0.7836,79.03
0.3427,0.7836,79.03
0.3448,0.7836,79.03
0.3470,0.7836,79.03
0.3491,0.7836,79.03
0.3513,0.7836,79.01
0.3534,0.7836,79.01
0.3556,0.7836,79.01
0.3578,0.7836,79.01
0.3599,0.7836,79.01
0.3621,0.7836,79.01
0.3642,0.7836,79.01
0.3664,0.7836,79.01
0.3685,0.7836,79.01
0.3707,0.7836,79.01
0.3728,0.7836,79.00
0.3728,0.7863,79.00
0.3728,0.7890,79.00
0.3750,0.7890,79.00
0.3772,0.7890,79.00
0.3793,0.7890,79.00
0.3815,0.7890,79.00
0.3836,0.7890,79.00
0.3858,0.7890,79.00
0.3879,0.7890,79.00
0.3901,0.7890,79.00
0.3922,0.7890,79.00
0.3944,0.7890,79.00
0.3966,0.7890,79.00
0.3987,0.7890,79.00
0.4009,0.7890,79.00
0.4030,0.7890,79.00
0.4052,0.7890,79.00
0.4052,0.7918,79.00
0.4073,0.7918,79.00
0.4095,0.7918,79.00
0.4116,0.7918,79.00
0.4138,0.7918,79.00
0.4159,0.7918,79.00
0.4181,0.7918,79.00
0.4203,0.7918,79.00
0.4224,0.7918,79.00
0.4246,0.7918,79.00
0.4267,0.7918,79.00
0.4289,0.7918,79.00
0.4310,0.7918,79.00
0.4332,0.7918,79.00
0.4353,0.7918,78.99
0.4375,0.7918,78.99
0.4397,0.7918,78.98
0.4418,0.7918,78.97
0.4440,0.7918,78.96
0.4461,0.7918,78.96
0.4483,0.7918,78.96
0.4504,0.7918,78.96
0.4526,0.7918,78.96
0.4547,0.7918,78.96
0.4547,0.7945,78.95
0.4569,0.7945,78.95
0.4591,0.7945,78.93
0.4612,0.7945,78.93
0.4634,0.7945,78.93
0.4655,0.7945,78.93
0.4677,0.7945,78.93
0.4698,0.7945,78.92
0.4698,0.7973,78.92
0.4720,0.7973,78.91
0.4741,0.7973,78.90
0.4763,0.7973,78.90
0.4784,0.7973,78.90
0.4784,0.8000,78.90
0.4806,0.8000,78.89
0.4828,0.8000,78.88
0.4849,0.8000,78.80
0.4871,0.8000,78.78
0.4892,0.8000,78.73
0.4914,0.8000,78.67
0.4935,0.8000,78.67
0.4935,0.8027,78.64
0.4935,0.8055,78.56
0.4957,0.8055,78.50
0.4978,0.8055,78.50
0.5000,0.8055,78.50
0.5022,0.8055,78.50
0.5043,0.8055,78.50
0.5065,0.8055,78.50
0.5086,0.8055,78.40
0.5108,0.8055,78.40
0.5108,0.8082,78.40
0.5129,0.8082,78.37
0.5151,0.8082,78.37
0.5172,0.8082,78.35
0.5194,0.8082,78.32
0.5216,0.8082,78.28
0.5237,0.8082,78.24
0.5259,0.8082,78.23
0.5280,0.8082,78.23
0.5302,0.8082,78.23
0.5323,0.8082,78.23
0.5345,0.8082,78.23
0.5366,0.8082,78.23
0.5388,0.8082,78.23
0.5409,0.8082,78.19
0.5431,0.8082,78.17
0.5453,0.8082,78.16
0.5474,0.8082,78.14
0.5496,0.8082,78.14
0.5517,0.8082,78.14
0.5539,0.8082,78.13
0.5560,0.8082,78.12
0.5560,0.8110,78.12
0.5582,0.8110,78.12
0.5603,0.8110,78.12
0.5625,0.8110,78.12
0.5647,0.8110,78.12
0.5668,0.8110,78.11
0.5690,0.8110,78.11
0.5711,0.8110,78.11
0.5733,0.8110,78.10
0.5754,0.8110,78.08
0.5776,0.8110,78.08
0.5797,0.8110,78.08
0.5819,0.8110,78.06
0.5841,0.8110,78.06
0.5862,0.8110,78.06
0.5884,0.8110,78.05
0.5905,0.8110,78.05
0.5927,0.8110,78.05
0.5948,0.8110,78.03
0.5970,0.8110,78.03
0.5970,0.8137,78.01
0.5991,0.8137,77.99
0.6013,0.8137,77.99
0.6034,0.8137,77.99
0.6056,0.8137,77.98
0.6078,0.8137,77.98
0.6078,0.8164,77.97
0.6099,0.8164,77.95
0.6121,0.8164,77.94
0.6142,0.8164,77.94
0.6164,0.8164,77.94
0.6185,0.8164,77.94
0.6207,0.8164,77.93
0.6228,0.8164,77.93
0.6250,0.8164,77.93
0.6272,0.8164,77.93
0.6293,0.8164,77.93
0.6315,0.8164,77.93
0.6315,0.8192,77.91
0.6336,0.8192,77.91
0.6358,0.8192,77.88
0.6379,0.8192,77.87
0.6401,0.8192,77.87
0.6422,0.8192,77.87
0.6444,0.8192,77.87
0.6466,0.8192,77.87
0.6487,0.8192,77.87
0.6509,0.8192,77.87
0.6530,0.8192,77.87
0.6552,0.8192,77.86
0.6573,0.8192,77.86
0.6595,0.8192,77.86
0.6616,0.8192,77.83
0.6638,0.8192,77.83
0.6659,0.8192,77.71
0.6659,0.8219,77.53
0.6659,0.8247,77.53
0.6659,0.8274,77.53
0.6659,0.8301,77.53
